rup,obj,P_hist,P_new,P_ccgt,P_ccgt_bioch4,P_won,P_wof,P_pv,P_ror,P_lake,P_cogen,P_charge,P_discharge,E_hist,E_new,E_ccgt,E_ccgt_bioch4,E_won,E_wof,E_pv,E_ror,E_lake,E_cogen,
0.035,6.93e+11,0,58675.650507281905,13045.225874157788,41193.94896496763,33651.77972536528,36585.94946671314,33076.36235159696,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,50.945721798097246,0.09076354920695916,8.499969534657867,11.088851894101555,16.720295916694106,6.014501995366112,3.5771874911053354,2.676508465502308,0.39331498390923003,
0.036,6.92e+11,0,58816.88614373208,13025.483123628097,41056.296932018595,33917.59112570789,36472.403248800976,32895.466997922194,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,51.13017622227811,0.09035819146064085,8.325579010094312,11.176441414603016,16.6684036905422,5.981608551581006,3.577187491105354,2.676508465502322,0.39331498390923214,
0.037,6.92e+11,0,58890.29739466678,13027.857491786403,40893.899013138034,32925.46275564399,37701.28057008272,32536.96750616584,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,51.1649708794381,0.09110039808589435,8.14127105050014,10.849517708179139,17.230017992115524,5.91642012833219,3.5771874911053483,2.6765084655023177,0.3933149839092314,
0.038,6.92e+11,0,59016.84353083055,13079.537895950205,40743.171027217286,34686.09575409032,36212.040115610085,32285.264766736946,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,51.41691227479479,0.09158307874030695,8.035801798373674,11.429677174304544,16.54941405938024,5.870651291588821,3.577187491105329,2.676508465502303,0.39331498390922937,
0.039,6.92e+11,0,58916.96759346939,13084.61525210809,40816.28927599805,34308.23987830612,36618.110445404905,32228.27337189119,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,51.4023996681961,0.09189743465213583,8.005658375315573,11.305167033144713,16.73499393843571,5.860288155087478,3.577187491105347,2.676508465502317,0.39331498390923136,
0.04,6.91e+11,0,58897.443920592515,13057.497308466583,40823.51596485402,33948.45200590266,37107.62000682077,32041.943271533448,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,51.424221458247075,0.09163025292916606,7.92335446522487,11.186610616130986,16.958706725454515,5.826406474010067,3.5771874911053643,2.6765084655023292,0.39331498390923314,
0.041,6.91e+11,0,58774.609858201526,13063.646532299314,40909.46060532304,33583.24956862419,37553.71335619954,31918.012571894407,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,51.37762472347235,0.0920296910678066,7.913893055273044,11.066270004983656,17.162577690040752,5.803871304261271,3.5771874911053665,2.676508465502331,0.3933149839092334,
0.042,6.91e+11,0,58635.463811362715,13057.359954463442,41043.28170375485,32900.880907346625,38136.12529041947,32008.85386834901,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,51.32035055829132,0.09210315076249753,7.917078542551188,10.84141755783714,17.428748174270776,5.82038960071055,3.577187491105358,2.676508465502325,0.3933149839092325,
0.043,6.91e+11,0,58551.33409632413,13052.486349549927,41132.36692478038,32905.693946103405,38132.017289318435,32008.213125733873,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,51.33148864008589,0.09199905137901959,7.90899072927243,10.843003538559987,17.42687075971584,5.820273090082917,3.5771874911053567,2.676508465502324,0.39331498390923236,
0.044,6.91e+11,0,58417.21078902389,13061.438595143947,41244.74469884156,32153.87731312237,38773.70411381798,32108.299781982474,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,51.270540272360634,0.09245002928935833,7.910222399566972,10.59526676616082,17.720130706440344,5.838472533761673,3.5771874911053465,2.676508465502316,0.39331498390923114,
0.045,6.90e+11,0,58424.46801571967,13065.214455524678,41222.04894368027,31468.50322521355,39358.681224952976,32199.541180122695,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,51.3029219723733,0.09276899808933033,7.830581397809628,10.369423978204285,17.987473512770094,5.855063583446671,3.5771874911053443,2.6765084655023146,0.393314983909231,
0.046,6.90e+11,0,58254.327887880485,13084.106387510736,41362.42157596306,30829.38450826862,39904.1786800019,32284.62476635743,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,51.214709261489546,0.0933894526118625,7.864265048315719,10.158823146605199,18.236773558365993,5.870534915927014,3.5771874911053416,2.6765084655023124,0.39331498390923075,
0.047,6.90e+11,0,58280.5673625638,13076.10302760392,41353.69002483349,31387.93436951251,39427.44795729214,32210.26702338178,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,51.31341790705181,0.0930259851210891,7.815618255329992,10.342875126540658,18.018900881218826,5.857013937146343,3.57718749110535,2.6765084655023186,0.3933149839092316,
0.048,6.90e+11,0,58197.30763483483,13078.026332580434,41429.62944813498,31070.771645744935,39698.15112098391,32252.489761102697,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,51.29498369045192,0.09317728908330251,7.809245159049228,10.238364443929129,18.14261605243845,5.86469158735381,3.5771874911053256,2.6765084655023004,0.3933149839092289,
0.049,6.90e+11,0,58106.09235583001,13069.850784495764,41522.70727950944,30699.779035075044,40014.798904246716,32301.87867891324,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,51.267222446288876,0.09313519015199981,7.807820648433113,10.116115869051383,18.287328564063557,5.8736723132741,3.5771874911053168,2.6765084655022937,0.393314983909228,
0.05,6.90e+11,0,57989.29968136152,13061.438595143944,41634.022711641555,29883.54586221288,40711.466216152614,32410.540878454052,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,51.195397049312994,0.09324378349609862,7.813127764855304,9.847152716469692,18.60571537048377,5.893431106850405,3.577187491105337,2.6765084655023093,0.3933149839092302,
0.051,6.90e+11,0,57940.771636539255,13061.438595143944,41688.337552144614,30223.61554290721,40421.21161956565,32365.268619582464,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,51.22371592113648,0.09312488819579867,7.812994962892747,9.959211643327926,18.473064918141965,5.885198941280825,3.5771874911053416,2.6765084655023124,0.39331498390923075,
0.052,6.90e+11,0,57866.69595326975,13061.438595143944,41759.54890624451,30055.288966365537,40564.88088896152,32387.67733397445,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,51.20833751436904,0.09318373860206104,7.814805613221909,9.90374508279692,18.53872380450264,5.889273671627256,3.577187491105327,2.6765084655023013,0.3933149839092291,
0.053,6.89e+11,0,57793.905033161784,13058.250220940045,41833.24058391714,29920.853761983723,40679.62336154893,32405.57421134932,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,51.195270088881486,0.09316373762241657,7.817258680145561,9.859446324071302,18.591162735946025,5.892527983680627,3.5771874911053403,2.676508465502311,0.3933149839092305,
0.054,6.89e+11,0,57733.96063215227,13075.668004554107,41877.441292928735,30019.234253149225,40595.654129957984,32392.47716884072,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,51.19950823486757,0.09349536879678723,7.820498677445122,9.891864422154214,18.55278761050674,5.890146458546012,3.5771874911053256,2.6765084655023004,0.3933149839092289,
0.055,6.89e+11,0,57665.266113642465,13059.882618767562,41933.03015216134,29503.662109076715,41145.93730833502,32258.19295201835,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,51.142658613727,0.09350764473628781,7.809426868085104,9.721974354139938,18.804274799292582,5.865728637703475,3.577187491105334,2.676508465502307,0.39331498390922986,
0.056,6.89e+11,0,57601.13939982836,13054.353352484704,41993.898136345444,29320.475125730736,41333.36300615488,32225.38089399603,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,51.106078802797484,0.09350165168706667,7.811213994201964,9.66161102881726,18.889930991782414,5.8597621959784645,3.5771874911053505,2.676508465502319,0.3933149839092317,
