rup,obj,P_hist,P_new,P_ccgt,P_ccgt_bioch4,P_won,P_wof,P_pv,P_ror,P_lake,P_cogen,P_charge,P_discharge,E_hist,E_new,E_ccgt,E_ccgt_bioch4,E_won,E_wof,E_pv,E_ror,E_lake,E_cogen,
0.038,7.14e+11,0,54370.89047770334,22573.78900594904,43892.83859995,29810.68015152081,39511.57897617368,34040.705470295565,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,48.05225954353105,0.12856267599845167,11.025706255231,9.82314218625065,18.057349945736174,6.189855123681088,3.577187491105364,2.6765084655023292,0.39331498390923314,
0.039,7.14e+11,0,54370.15431417599,22572.195897238154,43826.924304875465,30060.167236142453,39545.76301913452,33690.19251635986,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,48.107757106053725,0.12953221964923534,10.939172015505633,9.9053525582856,18.072972536437412,6.126118947422084,3.577187491105364,2.6765084655023292,0.39331498390923314,
0.04,7.13e+11,0,54369.41828328728,22571.35673254002,43791.271405648884,29833.312659555475,39837.97224038647,33593.81272469469,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,48.15799835417385,0.13039666952865878,10.851417271286548,9.830599994771754,18.20651627987256,6.108593548373586,3.5771874911053367,2.676508465502309,0.39331498390923014,
0.041,7.13e+11,0,54368.844807174886,22571.414230117058,43746.462885114306,29334.154357243107,40196.87228997015,33746.46804482792,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,48.21055933423919,0.13244339022529716,10.774435471185019,9.666118575624694,18.37053867428975,6.136351913026416,3.5771874911053443,2.6765084655023146,0.393314983909231,
0.042,7.13e+11,0,54368.37788619455,22577.806531532395,43685.332654993326,28300.349639935765,41105.21097977023,33850.74921117713,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,48.22208820181717,0.13555445071253933,10.67303251110192,9.325461781505618,18.785662291618838,6.155314073267012,3.5771874911053527,2.6765084655023204,0.39331498390923186,
0.043,7.13e+11,0,54367.9110185884,22577.609129372653,43670.43192611901,28197.96456779838,41577.47417984178,33370.212456823814,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,48.21923238983703,0.13493329814914504,10.584939341133964,9.291724103725596,19.001493247788062,6.0679347769229,3.5771874911053456,2.6765084655023155,0.3933149839092311,
0.044,7.13e+11,0,54367.44420434729,22577.61320036654,43677.00020647723,28118.018617052356,41776.06740827051,33213.480201734725,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,48.25049115960021,0.13445244358098765,10.521168681460685,9.265380510174532,19.092253159578892,6.039435075203882,3.5771874911053567,2.676508465502324,0.39331498390923236,
0.045,7.13e+11,0,54366.97744346207,22577.05264895207,43656.33377857471,27944.732785260207,41913.26596492634,33250.29204748694,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,48.29751724027741,0.13541314071701524,10.464222258113566,9.208279788020384,19.154954838777176,6.046128825785506,3.5771874911053416,2.6765084655023124,0.39331498390923075,
0.046,7.12e+11,0,54366.5107359236,22576.045965498033,43674.40582635254,28098.61672979453,41873.06837004912,33112.77955657279,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,48.34248875860778,0.13435566730219844,10.414735766177689,9.25898724788572,19.13658396987028,6.021123985706682,3.5771874911053407,2.676508465502312,0.39331498390923064,
0.047,7.12e+11,0,54366.04408172271,22575.92014946011,43703.84307356305,27791.566829252737,42171.073610254825,33107.51866105742,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,48.370658339656856,0.13382935196303097,10.356011329938688,9.15780891797295,19.272776575873333,6.020167360965499,3.5771874911053603,2.676508465502326,0.3933149839092327,
